Subject,-1_back_Correct,-1_back_Incorrect,0_back_Correct,0_back_Incorrect,1_back_Correct,1_back_Incorrect,2_back_Correct,2_back_Incorrect,3_back_Correct,3_back_Incorrect,4_back_Correct,4_back_Incorrect,5_back_Correct,5_back_Incorrect,6_back_Correct,6_back_Incorrect,7_back_Correct,7_back_Incorrect,8_back_Correct,8_back_Incorrect,9_back_Correct,9_back_Incorrect,10_back_Correct,10_back_Incorrect,11_back_Correct,11_back_Incorrect,12_back_Correct,12_back_Incorrect,13_back_Correct,13_back_Incorrect,14_back_Correct,14_back_Incorrect,15_back_Correct,15_back_Incorrect,-1_back_Correct,-1_back_Incorrect,0_back_Correct,0_back_Incorrect,1_back_Correct,1_back_Incorrect,2_back_Correct,2_back_Incorrect,3_back_Correct,3_back_Incorrect,4_back_Correct,4_back_Incorrect,5_back_Correct,5_back_Incorrect,6_back_Correct,6_back_Incorrect,7_back_Correct,7_back_Incorrect,8_back_Correct,8_back_Incorrect,9_back_Correct,9_back_Incorrect,10_back_Correct,10_back_Incorrect,11_back_Correct,11_back_Incorrect,12_back_Correct,12_back_Incorrect,13_back_Correct,13_back_Incorrect,14_back_Correct,14_back_Incorrect,15_back_Correct,15_back_Incorrect
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5524971585825259,0.42130009280820724,0.550780834785252,0.4205991750358353,0.49089132036501154,0.6132610343465681,0.48981782228064147,0.6153596309298053,0.4879925009385664,0.6167009496246031,0.48810944404375667,0.6074412887649696,0.49222519089605693,0.5846725037936877,0.4878781579113112,0.5909664322972451,0.48657937201940216,0.5915273660227933,0.4884198013605043,0.5840304174761903,0.4873438111997207,0.5787727522335313,0.48763786392464503,0.5758568729117498,0.4881833510856143,0.566905216451395,0.49259940940216335,0.5518725183038081,0.4961018480291458,0.5391241409868035,0.4940791138559349,0.5452073049252661,0.48938636911267885,0.5536758056468779
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.5499557022754872,0.41399197767418733,0.5485992601312376,0.4126576206101243,0.48380761003306594,0.6063452191139902,0.4849252736058638,0.6031822644324605,0.4840114697643957,0.6051587085599489,0.4828030834301226,0.6083635035105542,0.4812354771569038,0.6117283127107879,0.4912267821378391,0.5884083804783702,0.49590975436675927,0.5854163202377073,0.4955797436990449,0.5910597225664148,0.502924478673436,0.5730487103204392,0.5102305034598882,0.560786478576453,0.5115022150066519,0.56324828406718,0.5171077456072081,0.5536194595496096,0.5182869998076927,0.5529224020397058,0.5227162646183994,0.549590738123705,0.5245158514736458,0.5469902727115203
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.5549096273671662,0.44675991896697675,0.5558904779614134,0.44087493362123364,0.4949467340511561,0.6261422692966163,0.49443361744850217,0.6274745022435477,0.496508558547899,0.6217926223428165,0.4971156712538004,0.6213302835557623,0.49871798772086856,0.6146834336092544,0.5000709888858499,0.6077793470771438,0.504534483029331,0.5980024794169478,0.5067981903526416,0.5894537376873717,0.5097826154468971,0.5788896915349319,0.5114137512910234,0.5763774334116909,0.5135717649144641,0.5770907153775151,0.5136097433521561,0.5721829442936073,0.5104946163228952,0.5809308690944099,0.5076916918044889,0.585209983840949,0.513353961672223,0.5702661972002209
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.5084130025115672,0.3983848085204215,0.5124007323225638,0.3891134928158398,0.45873139005059266,0.5514190729518917,0.4580615293555789,0.5467608983005832,0.4566471361903299,0.5515130749470284,0.45695796453085935,0.5469144687883578,0.4584582814889703,0.541206693949775,0.45878530133447726,0.5384327689266841,0.46117935042607455,0.526539974022675,0.45986930456677744,0.5279676137975449,0.4615011972876908,0.5208203787941045,0.45987279954412247,0.5228166614552874,0.4607397097810878,0.5205982448056509,0.46130143317653094,0.5141247670999396,0.46209430593547046,0.5118447380938509,0.46348063155166364,0.5006584105706553,0.4641314500833177,0.4904883567571403
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.5048996007320004,0.38882217787602175,0.5082117857235773,0.3799180337060669,0.45011715097273547,0.5480573276332212,0.4498832917084198,0.544481953111337,0.44873830328209097,0.5438660723039036,0.44803905570294295,0.5445017659434516,0.44674585701049796,0.5427744531621036,0.4528892334834781,0.5212114390340841,0.4501924442752633,0.5252742120882515,0.4508766474353223,0.5216488549697514,0.4476409284834363,0.5265210031062724,0.45006051013960546,0.5135858844917358,0.45123376293698564,0.5095632994307839,0.45037972278617844,0.5130221469204131,0.45340467652720723,0.5075307154027666,0.45737806097204886,0.5019163041233587,0.4647068501598601,0.484286550473389
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.5405060270011754,0.4090550080656771,0.5417040262372879,0.40463872847643134,0.4787537227792302,0.5941497262011632,0.4789604606289493,0.5991851096845221,0.4868258687691367,0.5793610677402226,0.48489014983577067,0.5848415415747772,0.49090691214921733,0.5648269669979562,0.4948975737173238,0.5529203372287763,0.4938182086407793,0.5637942947654202,0.49744432823664797,0.5553077892620388,0.5048932139277496,0.5399582038382047,0.5025794787764521,0.5524021952592328,0.5048194466759732,0.5494054418672111,0.5060114988359337,0.5572210879027861,0.5038386934173451,0.5717072357114863,0.5131839240141781,0.5511872304790695,0.5150077713683071,0.5563876888014533
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.5286808093044877,0.4028482795245375,0.5344622544139679,0.3891349920234552,0.4716358242078781,0.5877095183135748,0.47206973135196273,0.5783211715174469,0.4708381894394197,0.575188764315543,0.46780259800025153,0.5702469220693842,0.4662381924962996,0.5689075894039203,0.4657556866794847,0.5597056563406425,0.4632020997479779,0.559572035455307,0.4658188338716956,0.5498289775157725,0.4702921110724664,0.5374557973102029,0.4684122872342039,0.5426723604371108,0.47129475561248035,0.5330130959293756,0.47255464107682377,0.5276029173655693,0.47470098148267886,0.5196997298700305,0.4716981544426244,0.5309965778581114,0.47574723487470133,0.5211290192299303
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.5716811960389576,0.43268327878683444,0.5691745270539376,0.4293288531586045,0.5077388532125632,0.6303527182360182,0.5069180314180954,0.6343234394276422,0.511312475888969,0.6308481340596332,0.5119428179854932,0.6278200301522652,0.5112155549729208,0.633546968636218,0.5143507847572361,0.6227771854789721,0.5143551359203822,0.6280565079356741,0.5165919261953865,0.6235518639142188,0.521369924471143,0.6065719287289277,0.5264134049768951,0.5878854823786617,0.5294962276844647,0.5829945727186485,0.5311122710218161,0.5799402315640112,0.5339627454088932,0.5779388485067811,0.5378849381745502,0.579771514637372,0.5416823847945177,0.5761049107712667
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.5207582347994204,0.38794210708929555,0.5270124274957995,0.365741138811787,0.45423243114548767,0.5828286251746566,0.4584619990225627,0.5714166795563302,0.4619582577080735,0.5672138795915872,0.46395919914133393,0.5674051318694928,0.46763288312964885,0.5608174841445217,0.4683215745390258,0.5621694287578081,0.4694439721953284,0.5625613367715869,0.46837563071983224,0.5606123638042504,0.47334668001363245,0.5457348819711261,0.47173114125327287,0.5495087141811579,0.4738845798184316,0.5420130380878013,0.47693386955284006,0.5415155350547054,0.48295400409344014,0.5270909885545667,0.490744097306303,0.507378803616797,0.4938004787930731,0.5034515044573378
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.5070059329920497,0.40829025872061964,0.5093909154909521,0.40402894036370574,0.4450769478391817,0.5962993849951149,0.4461680149579014,0.591949988893533,0.4483184598909884,0.5855901339193931,0.45636157925854615,0.5633440502696037,0.4598402952816354,0.5513771400092914,0.4616799062359852,0.541947165780365,0.45951388706607943,0.5421791437551678,0.459857299233,0.5345181481827868,0.4618277577138284,0.525034812442023,0.4612086230975899,0.5224103751426511,0.4647614263591355,0.5092524905518577,0.46862239595232713,0.4949816905712724,0.46780448863374097,0.4958140255527129,0.46894589868870007,0.4857011256637442,0.4746473505670855,0.4666616848010068
