Subject,-1_back_Correct,-1_back_Incorrect,0_back_Correct,0_back_Incorrect,1_back_Correct,1_back_Incorrect,2_back_Correct,2_back_Incorrect,3_back_Correct,3_back_Incorrect,4_back_Correct,4_back_Incorrect,5_back_Correct,5_back_Incorrect,6_back_Correct,6_back_Incorrect,7_back_Correct,7_back_Incorrect,8_back_Correct,8_back_Incorrect,9_back_Correct,9_back_Incorrect,10_back_Correct,10_back_Incorrect,11_back_Correct,11_back_Incorrect,12_back_Correct,12_back_Incorrect,13_back_Correct,13_back_Incorrect,14_back_Correct,14_back_Incorrect,15_back_Correct,15_back_Incorrect,-1_back_Correct,-1_back_Incorrect,0_back_Correct,0_back_Incorrect,1_back_Correct,1_back_Incorrect,2_back_Correct,2_back_Incorrect,3_back_Correct,3_back_Incorrect,4_back_Correct,4_back_Incorrect,5_back_Correct,5_back_Incorrect,6_back_Correct,6_back_Incorrect,7_back_Correct,7_back_Incorrect,8_back_Correct,8_back_Incorrect,9_back_Correct,9_back_Incorrect,10_back_Correct,10_back_Incorrect,11_back_Correct,11_back_Incorrect,12_back_Correct,12_back_Incorrect,13_back_Correct,13_back_Incorrect,14_back_Correct,14_back_Incorrect,15_back_Correct,15_back_Incorrect
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3006423515672243,0.29318090463450946,0.28626048173013124,0.3359100862278773,0.3058170876885108,0.27490244868900754,0.29612501100594135,0.29977504994131865,0.2965984619782924,0.3055488754093746,0.3025020733206956,0.2866669072201246,0.2992335705357568,0.2990543411440877,0.30279666273009076,0.29280711055148084,0.2976507072051284,0.2958719847895255,0.3080421804246029,0.2819999657246918,0.3048835216714929,0.2954194464583999,0.3034495019996166,0.29263404270385396,0.3095551304985762,0.2715691447881422,0.30038567745042666,0.31481763020121645,0.3073321262067973,0.3002856591405775,0.3032199370528134,0.30742410359207734,0.2970207081312975,0.325710354171204
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.2611301621326591,0.26719103197270033,0.2507546553245404,0.2932072200976891,0.25961655608835416,0.24819474651635082,0.2580276461322826,0.2508169264699004,0.251233289491945,0.27335239143019985,0.24997195314397821,0.2775540108045334,0.25610752038297296,0.2611622808818829,0.25866089604459397,0.25847379546839055,0.25846756110513464,0.2679932868090908,0.2642834188468043,0.24745377868714263,0.25766012659478826,0.27695804752134323,0.26111194390471487,0.26533695812349617,0.2692322818829725,0.24275152255676927,0.2658235802923474,0.26032120436130196,0.2644573122452991,0.26742245100971734,0.2682843332426566,0.2518865575320911,0.2678753225432139,0.24662237697506498
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.3220610194047476,0.3012198237177336,0.31239335542365865,0.33341283060307847,0.3168646375377468,0.3115002921513446,0.30863149686399627,0.3299961425445086,0.31623935433054906,0.2982328205301692,0.3091034626486192,0.3241136925910223,0.30736913394567555,0.3271627876899882,0.3158133851956802,0.29628421224818047,0.3110380053240774,0.31721584662503227,0.31256743025654027,0.30407678951793116,0.3091708124338887,0.31785583309373344,0.3075753755626135,0.3155489443735845,0.3017492299702408,0.3338974099596498,0.31049201948361516,0.30285629794412705,0.3106203043638528,0.29963731204813226,0.3118695363370028,0.29669130883716727,0.31265424603501074,0.3009733928216826
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.1942391151445266,0.1831883516867297,0.18306117915576853,0.21639593875393098,0.18578604393943807,0.1806957803516434,0.17739906747883333,0.19573186210468727,0.1773067611440387,0.19583035815517,0.1806955093282505,0.1862086789645873,0.181516100023514,0.18149627338631094,0.1806354497249914,0.1787931287768812,0.18161539787962533,0.1732116469066098,0.18260410226567533,0.1770884258150754,0.18219306703744612,0.17765740717567202,0.1808952457069098,0.1796305527403476,0.1836109873524787,0.17027692882413475,0.18397677195582918,0.17332672567684154,0.1830694135862568,0.1692556844679301,0.1805776692726923,0.1857428962572236,0.17971384189523892,0.1782095547965153
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.18681544500607294,0.1720267243006688,0.17141716676679405,0.2228469554675197,0.1772010784739159,0.20600302636980672,0.18503270728397722,0.18904872664427552,0.1837830502522102,0.1900091946517434,0.18202131024575086,0.19686133343164922,0.18542749479394574,0.1910830533912941,0.18815799303783073,0.18620584935704135,0.1784389502871429,0.2129820870286454,0.18896900919230167,0.18232862993452958,0.1820240387720897,0.19467952090421056,0.18081926812229668,0.20495043778827812,0.17426473523665764,0.2217261706301555,0.1863971635641098,0.18964879023869707,0.18860917432364538,0.19412804600271824,0.1912080997125724,0.18991068777026957,0.1861945061718055,0.19155793132118787
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.2983310547146545,0.26135652385464075,0.30452724371760737,0.24952414996242758,0.28338745545005845,0.29444394266735296,0.281064437607388,0.2947137761230498,0.2807760585637011,0.293609781703781,0.2753394928797078,0.307083812581712,0.28112512037432996,0.2872333007358129,0.277005091208545,0.2937261815281241,0.2763562210965623,0.29822800891392953,0.28203117108897524,0.2813219041419275,0.28372187508254965,0.2800881476626299,0.28289346483772926,0.2821879321946261,0.2808425991836706,0.28863107465944504,0.2835604153070656,0.2915149243470843,0.2874640378626788,0.2859010277320958,0.2828551505775486,0.3070584667931714,0.29124858325780667,0.2852809055451565
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.2739202435923559,0.2750149930172629,0.2656411913905049,0.3089391090953453,0.2721848969225016,0.28406800929651543,0.26806129957133346,0.2917721687267824,0.2760646547141456,0.2662441940104878,0.26784039392756603,0.2881786096789884,0.27077994175823694,0.2778823372530202,0.27340940923448515,0.28291306673565736,0.2608159504401033,0.3089969469493047,0.27071469190110037,0.28349969991060575,0.273636326427391,0.2682206621235612,0.26539831306334805,0.304872493581836,0.26636598015532786,0.2863001534386801,0.27453786376121947,0.27959277004043903,0.26861803369948306,0.29649885632598955,0.28318973847453555,0.25602883935719506,0.2739926379380605,0.3012776266289952
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.30524837670467464,0.30189740337756776,0.2988528418921394,0.32708628795351535,0.30516425592523133,0.30499556503591746,0.3052848370827941,0.2985485921715406,0.29753258765074486,0.3125212449366065,0.3002598848735799,0.3082388128204841,0.30058355160288275,0.30373063906284054,0.29663598249230816,0.31738284584438886,0.2982511326480357,0.30703982270401436,0.3054084494391007,0.281411829386046,0.30649959784471026,0.2850079534483617,0.30735087229653457,0.2822454153070131,0.30447575079261135,0.3038674297900024,0.2980512634243393,0.30071965222644337,0.3006885526272377,0.30124932054496256,0.3037039216579288,0.2875340819504547,0.30289900484880417,0.2925504123586407
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.30186240464553055,0.2931774023631964,0.2838661497314986,0.34018821433809726,0.30162503404239205,0.282490051860073,0.3018401425679552,0.2838631931283011,0.2929316021736702,0.31383948013383617,0.2955343518851211,0.30286136123567037,0.2934919056988082,0.30806038078953146,0.2963490084847459,0.3016226759707638,0.30002364914749025,0.29085704688679187,0.2936217077183807,0.31659874362388385,0.2906720621219239,0.32437656424696454,0.3013452845180028,0.28630647049479524,0.3013681035474505,0.2912233259815591,0.30417332293325855,0.2906053611838594,0.30494451589644006,0.29066582630636684,0.3089672430987014,0.2865261065939068,0.30570302030245744,0.29203721891956547
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.21778792584568024,0.2185108604702283,0.20093391270516398,0.2735948548694213,0.2109130644144026,0.22958678760217494,0.21051056341232757,0.23170022174005295,0.2114674221978882,0.23208597157567884,0.21543654509320564,0.22090779368408694,0.21852932950302498,0.21163592948996865,0.22015105161268628,0.2112545460206011,0.21663476878241722,0.22217392270606892,0.21270190647892712,0.23679212625634638,0.21811252125806288,0.22271857358455352,0.22166564625967697,0.21708279385859713,0.22827279934191447,0.19283462342895794,0.2226282490443185,0.20867624328834067,0.21888268677635186,0.1972045901175063,0.22113652768484945,0.19704477440742119,0.2146267973846605,0.21298666826514778
